Name,Brand,Link,Image,Price,Discount,Promo,OldPrice,BestSeller,Stock,Coupon,RevNo,Stars
unisex-baby Baby cotton T-shirt half sleeves for Unisex Base Layer Top,Papillion,/-/en/Papillon-T-shirt-sleeves-printed-Yellow-0-3month/dp/B09PC8FZC2/ref=sr_1_7009?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7009,https://m.media-amazon.com/images/I/61sfokqOquL._AC_UL320_.jpg,56,,,,,,,,5.0 out of 5 stars
"black cat eye black lens sunglasses for women, size 53",Momo,/-/en/Momo-black-lens-sunglasses-women/dp/B09HR4HQ8L/ref=sr_1_7010?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7010,https://m.media-amazon.com/images/I/51IcLXAaMnL._AC_UL320_.jpg,894,,,"EGP 1,295.00",Limited time deal,,,,5.0 out of 5 stars
"Womens Cotton Basic Elastic Waist Brief Underwear, Color: Dark Grey, Size: L",Dahab,/-/en/Dahab-Womens-Cotton-Elastic-Underwear/dp/B08BCSBJ13/ref=sr_1_7011?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7011,https://m.media-amazon.com/images/I/61hrthjzcQL._AC_UL320_.jpg,56,,,,,,,,5.0 out of 5 stars
Gold,Dejavu,/-/en/Dejavu-Gold-Pump-39-EU/dp/B09N7PC58Y/ref=sr_1_7012?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7012,https://m.media-amazon.com/images/I/51TdzTsd2tL._AC_UL320_.jpg,429,,,,,,,,0.0 out of 5 stars
Colorful Personality Embroidered Letters Short Sleeves Crew Neck T-shirt for Girls,Andora,/-/en/Andora-Colorful-Personality-Embroidered-Letters/dp/B096L7RXR3/ref=sr_1_7013?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7013,https://m.media-amazon.com/images/I/61iFNMBNoFS._AC_UL320_.jpg,76,,,EGP 81.00,,,,,3.5 out of 5 stars
Women Fashion Sneakers,Grinta,/-/en/Grinta-Women-Fashion-Sneakers-BLACK/dp/B09SFCQJ69/ref=sr_1_7014?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7014,https://m.media-amazon.com/images/I/51dWZDq5bqL._AC_UL320_.jpg,169,,,,,,,,5.0 out of 5 stars
womens Women Pjama Plaided Short & Sleeveless Tshirt Pajama Set,Kady,/-/en/Women-Plaided-Sleeveless-Tshirt-NAVY-red-2XL/dp/B09DGTRRZK/ref=sr_1_7015?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7015,https://m.media-amazon.com/images/I/61GRYK+ILKL._AC_UL320_.jpg,149,,,,,,,,3.1 out of 5 stars
womens 8516985 JYSP20903 Casual Pants (pack of 1),Splash,/-/en/Splash-Jersey-Jogger-Women-Navy-size/dp/B09W1M6BRP/ref=sr_1_7016?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7016,https://m.media-amazon.com/images/I/51q-WhFtZAL._AC_UL320_.jpg,439,,,,,,,,0.0 out of 5 stars
MEN'S SPORTSTYLE GEL-QUANTUM 180 5,Asics,/-/en/ASICS-SPORTSTYLE-GEL-QUANTUM-CARRIER-ELECTRIC/dp/B0822SGN6S/ref=sr_1_7017?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7017,https://m.media-amazon.com/images/I/51D38LlcKcL._AC_UL320_.jpg,"2,389",,,,,,,,4.4 out of 5 stars
"Analog Casual Watch rubber strap for Men, Silver- YWS455",Swatch,/-/en/Swatch-Analog-Casual-Silver-YWS455/dp/B08PFFB2FX/ref=sr_1_7018?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7018,https://m.media-amazon.com/images/I/61C0t8wfhLL._AC_UL320_.jpg,"2,049",,,"EGP 2,969.00",,,,,4.7 out of 5 stars
"Elsayaad Cotton Elastic Waist Front Stitch Detail Brief for Kids - White, 8 Years",El Sayaad,/-/en/Elsayaad-Cotton-Elastic-Stitch-Detail/dp/B0968WR7KZ/ref=sr_1_7019?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7019,https://m.media-amazon.com/images/I/51n57yrbeMS._AC_UL320_.jpg,32,,,,,,,,5.0 out of 5 stars
LK377G Stainless Steel Grey Dial Round Analog Watch for Women,Swatch,/-/en/Swatch-LK377G-Stainless-Steel-Analog/dp/B079XJZJ1D/ref=sr_1_7020?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7020,https://m.media-amazon.com/images/I/713MxhIEzzL._AC_UL320_.jpg,"1,330",,,"EGP 1,389.00",,Only 2 left in stock - order soon.,,,4.4 out of 5 stars
Men's Chrono Watch Stainless Steel Case Red Bezel Maroon Dial 3 Subdials Stainless Steel Bracelet,CURREN,/-/en/Chrono-Stainless-Maroon-Subdials-Bracelet/dp/B09W68B7H3/ref=sr_1_7021?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7021,https://m.media-amazon.com/images/I/51lAAZOIkzL._AC_UL320_.jpg,369,,,,,Only 1 left in stock - order soon.,,,0.0 out of 5 stars
"Tablet Messenger & Shoulder Bag upto 10"", Unisex, Gray",E-Train,/-/en/Train-Tablet-Messenger-Shoulder-Unisex/dp/B097F6BPBR/ref=sr_1_7022?m=A1ZVRGNO5AYLOV&qid=1668811905&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7022,https://m.media-amazon.com/images/I/71RBNJTKdfL._AC_UL320_.jpg,129,,,,Limited time deal,,,,0.0 out of 5 stars
